ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,りんご,3604,○,○,りんご,○,,,,11,1
1,2,GPT-2,りんご,ご,ごま,1782,○,○,ごま,○,,,,11,1
1,3,GPT-1,ごま,ま,まくら,1961,○,○,まくら,○,,,,11,1
1,4,GPT-2,まくら,ら,ラジオ,1937,○,○,らじお,○,,,,11,1
1,5,GPT-1,ラジオ,お,おにぎり,1542,○,○,おにぎり,○,,,,11,1
1,6,GPT-2,おにぎり,り,りす,1406,○,○,りす,○,,,,11,1
1,7,GPT-1,りす,す,すいか,1267,○,○,すいか,○,,,,11,1
1,8,GPT-2,すいか,か,かさ,1718,○,○,かさ,○,,,,11,1
1,9,GPT-1,かさ,さ,さくら,1633,○,○,さくら,○,,,,11,1
1,10,GPT-2,さくら,ら,らくだ,1741,○,○,らくだ,○,,,,11,1
1,11,GPT-1,らくだ,だ,だるま,1506,○,○,だるま,○,,,,11,1
1,12,GPT-2,だるま,ま,マスク,1257,○,○,ますく,○,,,,11,1
1,13,GPT-1,マスク,く,くじら,1556,○,○,くじら,○,,,,11,1
1,14,GPT-2,くじら,ら,らっぱ,1521,○,○,らっぱ,○,,,,11,1
1,15,GPT-1,らっぱ,ぱ,パンダ,1475,○,○,ぱんだ,○,,,,11,1
1,16,GPT-2,パンダ,だ,ダイヤモンド,1383,○,○,だいやもんど,○,,,,11,1
1,17,GPT-1,ダイヤモンド,ど,ドア,2459,○,○,どあ,○,,,,11,1
1,18,GPT-2,ドア,あ,あさ,1169,○,○,あさ,○,,,,11,1
1,19,GPT-1,あさ,さ,サボテン,1255,○,○,さぼてん,×,「ん」で終了,GPT-2,GPT-1,11,1
2,1,GPT-1,しりとり,り,りんご,1331,○,○,りんご,○,,,,11,1
2,2,GPT-2,りんご,ご,ごま,983,○,○,ごま,○,,,,11,1
2,3,GPT-1,ごま,ま,まくら,1133,○,○,まくら,○,,,,11,1
2,4,GPT-2,まくら,ら,ラジオ,5182,○,○,らじお,○,,,,11,1
2,5,GPT-1,ラジオ,お,おにぎり,1346,○,○,おにぎり,○,,,,11,1
2,6,GPT-2,おにぎり,り,リス,1587,○,○,りす,○,,,,11,1
2,7,GPT-1,リス,す,すいか,1554,○,○,すいか,○,,,,11,1
2,8,GPT-2,すいか,か,かめ,1793,○,○,かめ,○,,,,11,1
2,9,GPT-1,かめ,め,めだか,1290,○,○,めだか,○,,,,11,1
2,10,GPT-2,めだか,か,かさ,1434,○,○,かさ,○,,,,11,1
2,11,GPT-1,かさ,さ,さくら,1435,○,○,さくら,○,,,,11,1
2,12,GPT-2,さくら,ら,ラッパ,1530,○,○,らっぱ,○,,,,11,1
2,13,GPT-1,ラッパ,ぱ,パンフレット,1126,○,○,ぱんふれっと,○,,,,11,1
2,14,GPT-2,パンフレット,と,時計,1537,○,○,とけい,○,,,,11,1
2,15,GPT-1,時計,い,いす,1672,○,○,いす,○,,,,11,1
2,16,GPT-2,いす,す,スイッチ,1481,○,○,すいっち,○,,,,11,1
2,17,GPT-1,スイッチ,ち,チーズ,1245,○,○,ちーず,○,,,,11,1
2,18,GPT-2,チーズ,ず,ずこう,1979,○,○,ずこう,○,,,,11,1
2,19,GPT-1,ずこう,う,うさぎ,1402,○,○,うさぎ,○,,,,11,1
2,20,GPT-2,うさぎ,ぎ,ぎんこう,1941,○,○,ぎんこう,○,,,,11,1
2,21,GPT-1,ぎんこう,う,うみ,1946,○,○,うみ,○,,,,11,1
2,22,GPT-2,うみ,み,みず,1535,○,○,みず,○,,,,11,1
2,23,GPT-1,みず,ず,図形,1645,○,○,ずけい,○,,,,11,1
2,24,GPT-2,図形,い,いぬ,1542,○,○,いぬ,○,,,,11,1
2,25,GPT-1,いぬ,ぬ,ぬいぐるみ,1503,○,○,ぬいぐるみ,○,,,,11,1
2,26,GPT-2,ぬいぐるみ,み,ミキサー,1378,○,○,みきさー,○,,,,11,1
2,27,GPT-1,ミキサー,あ,アイスクリーム,1424,○,×,,×,辞書外,GPT-2,GPT-1,11,1
3,1,GPT-1,しりとり,り,りんご,1373,○,○,りんご,○,,,,11,1
3,2,GPT-2,りんご,ご,ごま,1272,○,○,ごま,○,,,,11,1
3,3,GPT-1,ごま,ま,マグカップ,3063,○,×,,×,辞書外,GPT-2,GPT-1,11,1
4,1,GPT-1,しりとり,り,りんご,1348,○,○,りんご,○,,,,11,1
4,2,GPT-2,りんご,ご,ごま,1416,○,○,ごま,○,,,,11,1
4,3,GPT-1,ごま,ま,まくら,1434,○,○,まくら,○,,,,11,1
4,4,GPT-2,まくら,ら,ラッパ,1848,○,○,らっぱ,○,,,,11,1
4,5,GPT-1,ラッパ,ぱ,パンダ,1406,○,○,ぱんだ,○,,,,11,1
4,6,GPT-2,パンダ,だ,だるま,1558,○,○,だるま,○,,,,11,1
4,7,GPT-1,だるま,ま,まつり,1152,○,○,まつり,○,,,,11,1
4,8,GPT-2,まつり,り,リス,1690,○,○,りす,○,,,,11,1
4,9,GPT-1,リス,す,すいか,1001,○,○,すいか,○,,,,11,1
4,10,GPT-2,すいか,か,かさ,1732,○,○,かさ,○,,,,11,1
4,11,GPT-1,かさ,さ,さくら,1071,○,○,さくら,○,,,,11,1
4,12,GPT-2,さくら,ら,ラジオ,1523,○,○,らじお,○,,,,11,1
4,13,GPT-1,ラジオ,お,おにぎり,1825,○,○,おにぎり,○,,,,11,1
4,14,GPT-2,おにぎり,り,料理,1884,○,○,りょうり,○,,,,11,1
4,15,GPT-1,料理,り,理科,1630,○,○,りか,○,,,,11,1
4,16,GPT-2,理科,か,カメラ,1223,○,○,かめら,○,,,,11,1
4,17,GPT-1,カメラ,ら,ラクダ,2015,○,○,らくだ,○,,,,11,1
4,18,GPT-2,ラクダ,だ,台帳,2142,○,○,だいちょう,○,,,,11,1
4,19,GPT-1,台帳,う,うさぎ,1183,○,○,うさぎ,○,,,,11,1
4,20,GPT-2,うさぎ,ぎ,銀河,1642,○,○,ぎんが,○,,,,11,1
4,21,GPT-1,銀河,が,ガラス,1288,○,○,がらす,○,,,,11,1
4,22,GPT-2,ガラス,す,すずめ,1791,○,○,すずめ,○,,,,11,1
4,23,GPT-1,すずめ,め,めがね,1850,○,○,めがね,○,,,,11,1
4,24,GPT-2,めがね,ね,ネクタイ,1579,○,○,ねくたい,○,,,,11,1
4,25,GPT-1,ネクタイ,い,いす,1553,○,○,いす,○,,,,11,1
