ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,りんご,3814,○,○,りんご,○,,,,30,3
1,2,GPT-1,りんご,ご,ごま,3757,○,○,ごま,○,,,,30,3
1,3,GPT-1,ごま,ま,まくら,2237,○,○,まくら,○,,,,30,3
1,4,GPT-2,まくら,ら,ラッパ,2699,○,○,らっぱ,○,,,,30,3
1,5,GPT-2,ラッパ,ぱ,パンダ,2012,○,○,ぱんだ,○,,,,30,3
1,6,GPT-2,パンダ,だ,だるま,2643,○,○,だるま,○,,,,30,3
1,7,GPT-1,だるま,ま,まつり,3228,○,○,まつり,○,,,,30,3
1,8,GPT-1,まつり,り,リス,1956,○,○,りす,○,,,,30,3
1,9,GPT-1,リス,す,スイカ,2259,○,○,すいか,○,,,,30,3
1,10,GPT-2,スイカ,か,カメラ,2638,○,○,かめら,○,,,,30,3
1,11,GPT-2,カメラ,ら,ラジオ,2879,○,○,らじお,○,,,,30,3
1,12,GPT-2,ラジオ,お,おにぎり,2521,○,○,おにぎり,○,,,,30,3
1,13,GPT-1,おにぎり,り,料理,2557,○,○,りょうり,○,,,,30,3
1,14,GPT-1,料理,り,理科,2584,○,○,りか,○,,,,30,3
1,15,GPT-1,理科,か,かさ,2247,○,○,かさ,○,,,,30,3
1,16,GPT-2,かさ,さ,さじ,4019,○,○,さじ,○,,,,30,3
1,17,GPT-1,さじ,じ,辞書,2208,○,○,じしょ,○,,,,30,3
1,18,GPT-1,辞書,よ,ヨット,2013,○,○,よっと,○,,,,30,3
1,19,GPT-1,ヨット,と,時計,3616,○,○,とけい,○,,,,30,3
1,20,GPT-2,時計,い,いす,2243,○,○,いす,○,,,,30,3
1,21,GPT-2,いす,す,スープ,2434,○,○,すーぷ,○,,,,30,3
1,22,GPT-2,スープ,ぷ,プール,1992,○,○,ぷーる,○,,,,30,3
1,23,GPT-1,プール,る,留守,2146,○,○,るす,○,,,,30,3
1,24,GPT-1,留守,す,すずめ,2231,○,○,すずめ,○,,,,30,3
1,25,GPT-1,すずめ,め,めだか,1976,○,○,めだか,○,,,,30,3
1,26,GPT-2,めだか,か,かき,4032,○,○,かき,○,,,,30,3
1,27,GPT-2,かき,き,きつつき,3666,○,○,きつつき,○,,,,30,3
1,28,GPT-2,きつつき,き,きのこ,1994,○,○,きのこ,○,,,,30,3
1,29,GPT-1,きのこ,こ,こま,1988,○,○,こま,○,,,,30,3
1,30,GPT-1,こま,ま,まど,7064,○,○,まど,○,,,,30,3
1,31,GPT-1,まど,ど,ドア,1817,○,○,どあ,○,,,,30,3
1,32,GPT-2,ドア,あ,あさ,3142,○,○,あさ,○,,,,30,3
1,33,GPT-2,あさ,さ,さくら,2340,○,○,さくら,○,,,,30,3
1,34,GPT-2,さくら,ら,らくだ,2001,○,○,らくだ,○,,,,30,3
1,35,GPT-1,らくだ,だ,だんご,3470,○,○,だんご,○,,,,30,3
1,36,GPT-1,だんご,ご,ゴリラ,2751,○,○,ごりら,○,,,,30,3
1,37,GPT-1,ゴリラ,ら,ラッコ,2437,○,○,らっこ,○,,,,30,3
1,38,GPT-2,ラッコ,こ,こたつ,2755,○,○,こたつ,○,,,,30,3
1,39,GPT-2,こたつ,つ,つぼ,5905,○,○,つぼ,○,,,,30,3
1,40,GPT-2,つぼ,ぼ,ぼうし,2086,○,○,ぼうし,○,,,,30,3
1,41,GPT-1,ぼうし,し,しお,4054,○,○,しお,○,,,,30,3
1,42,GPT-1,しお,お,おかし,3890,○,×,,×,辞書外,GPT-2,GPT-1,30,3
2,1,GPT-1,しりとり,り,リンゴ,1797,○,○,りんご,○,,,,30,3
2,2,GPT-1,リンゴ,ご,ごま,2208,○,○,ごま,○,,,,30,3
2,3,GPT-1,ごま,ま,まくら,1960,○,○,まくら,○,,,,30,3
2,4,GPT-2,まくら,ら,ラッパ,2117,○,○,らっぱ,○,,,,30,3
2,5,GPT-2,ラッパ,ぱ,パンダ,1947,○,○,ぱんだ,○,,,,30,3
2,6,GPT-2,パンダ,だ,だるま,1716,○,○,だるま,○,,,,30,3
2,7,GPT-1,だるま,ま,まつり,4207,○,○,まつり,○,,,,30,3
2,8,GPT-1,まつり,り,リス,2845,○,○,りす,○,,,,30,3
2,9,GPT-1,リス,す,スイカ,1968,○,○,すいか,○,,,,30,3
2,10,GPT-2,スイカ,か,カメラ,2037,○,○,かめら,○,,,,30,3
2,11,GPT-2,カメラ,ら,ラジオ,3620,○,○,らじお,○,,,,30,3
2,12,GPT-2,ラジオ,お,おにぎり,3528,○,○,おにぎり,○,,,,30,3
2,13,GPT-1,おにぎり,り,料理,2825,○,○,りょうり,○,,,,30,3
2,14,GPT-1,料理,り,リレー,4486,○,○,りれー,○,,,,30,3
2,15,GPT-1,リレー,え,えんぴつ,2552,○,○,えんぴつ,○,,,,30,3
2,16,GPT-2,えんぴつ,つ,つくえ,2829,○,○,つくえ,○,,,,30,3
2,17,GPT-2,つくえ,え,えんとつ,4602,○,○,えんとつ,○,,,,30,3
2,18,GPT-2,えんとつ,つ,つみき,2101,○,×,,×,辞書外,GPT-1,GPT-2,30,3
3,1,GPT-1,しりとり,り,りんご,4807,○,○,りんご,○,,,,30,3
3,2,GPT-1,りんご,ご,ごま,2179,○,○,ごま,○,,,,30,3
3,3,GPT-1,ごま,ま,まくら,1825,○,○,まくら,○,,,,30,3
3,4,GPT-2,まくら,ら,ラベル,7006,○,○,らべる,○,,,,30,3
3,5,GPT-2,ラベル,る,ルビー,1916,○,○,るびー,○,,,,30,3
3,6,GPT-2,ルビー,い,いす,1545,○,○,いす,○,,,,30,3
3,7,GPT-1,いす,す,スイカ,2339,○,○,すいか,○,,,,30,3
3,8,GPT-1,スイカ,か,カメラ,3591,○,○,かめら,○,,,,30,3
3,9,GPT-1,カメラ,ら,ラッパ,2804,○,○,らっぱ,○,,,,30,3
3,10,GPT-2,ラッパ,ぱ,パンダ,2174,○,○,ぱんだ,○,,,,30,3
3,11,GPT-2,パンダ,だ,だるま,2505,○,○,だるま,○,,,,30,3
3,12,GPT-2,だるま,ま,まつり,3365,○,○,まつり,○,,,,30,3
3,13,GPT-1,まつり,り,りす,2176,○,○,りす,○,,,,30,3
3,14,GPT-1,りす,す,すみれ,2860,○,○,すみれ,○,,,,30,3
3,15,GPT-1,すみれ,れ,れきし,2232,○,○,れきし,○,,,,30,3
3,16,GPT-2,れきし,し,しずく,4428,○,○,しずく,○,,,,30,3
3,17,GPT-2,しずく,く,くじら,2447,○,○,くじら,○,,,,30,3
3,18,GPT-2,くじら,ら,ラジオ,1434,○,○,らじお,○,,,,30,3
3,19,GPT-1,ラジオ,お,おにぎり,1740,○,○,おにぎり,○,,,,30,3
3,20,GPT-1,おにぎり,り,りか,3014,○,○,りか,○,,,,30,3
3,21,GPT-1,りか,か,かき,1806,○,○,かき,○,,,,30,3
3,22,GPT-2,かき,き,きつね,2135,○,○,きつね,○,,,,30,3
3,23,GPT-2,きつね,ね,ねこ,1756,○,○,ねこ,○,,,,30,3
3,24,GPT-2,ねこ,こ,こあら,1981,○,×,,×,辞書外,GPT-1,GPT-2,30,3
4,1,GPT-1,しりとり,り,りんご,1802,○,○,りんご,○,,,,30,3
4,2,GPT-1,りんご,ご,ごま,1930,○,○,ごま,○,,,,30,3
4,3,GPT-1,ごま,ま,まくら,2057,○,○,まくら,○,,,,30,3
4,4,GPT-2,まくら,ら,ラッパ,3218,○,○,らっぱ,○,,,,30,3
4,5,GPT-2,ラッパ,ぱ,パンダ,2678,○,○,ぱんだ,○,,,,30,3
4,6,GPT-1,パンダ,だ,だるま,2312,○,○,だるま,○,,,,30,3
4,7,GPT-1,だるま,ま,まぐろ,5861,○,○,まぐろ,○,,,,30,3
4,8,GPT-2,まぐろ,ろ,ロケット,1983,○,○,ろけっと,○,,,,30,3
4,9,GPT-2,ロケット,と,時計,2250,○,○,とけい,○,,,,30,3
4,10,GPT-2,時計,い,いちご,1969,○,○,いちご,○,,,,30,3
4,11,GPT-1,いちご,ご,ごりら,2966,○,○,ごりら,○,,,,30,3
4,12,GPT-1,ごりら,ら,らくだ,2268,○,○,らくだ,○,,,,30,3
4,13,GPT-1,らくだ,だ,だちょう,2193,○,○,だちょう,○,,,,30,3
4,14,GPT-2,だちょう,う,うさぎ,3069,○,○,うさぎ,○,,,,30,3
4,15,GPT-2,うさぎ,ぎ,義手,2861,○,○,ぎしゅ,○,,,,30,3
4,16,GPT-2,義手,ゆ,雪,3254,○,○,ゆき,○,,,,30,3
4,17,GPT-1,雪,き,木,7188,○,○,き,○,,,,30,3
4,18,GPT-1,木,き,きつね,2470,○,○,きつね,○,,,,30,3
4,19,GPT-1,きつね,ね,ねこ,2193,○,○,ねこ,○,,,,30,3
4,20,GPT-2,ねこ,こ,こま,1475,○,○,こま,○,,,,30,3
4,21,GPT-2,こま,ま,まめ,3396,○,○,まめ,○,,,,30,3
4,22,GPT-2,まめ,め,めだか,1594,○,○,めだか,○,,,,30,3
4,23,GPT-1,めだか,か,かぶ,4704,○,○,かぶ,○,,,,30,3
4,24,GPT-1,かぶ,ぶ,ぶた,1837,○,○,ぶた,○,,,,30,3
4,25,GPT-1,ぶた,た,たぬき,4262,○,○,たぬき,○,,,,30,3
4,26,GPT-2,たぬき,き,きのこ,1621,○,○,きのこ,○,,,,30,3
4,27,GPT-2,きのこ,こ,こけし,4815,○,○,こけし,○,,,,30,3
4,28,GPT-2,こけし,し,しお,1983,○,○,しお,○,,,,30,3
4,29,GPT-1,しお,お,おにぎり,2070,○,○,おにぎり,○,,,,30,3
4,30,GPT-1,おにぎり,り,りす,2099,○,○,りす,○,,,,30,3
4,31,GPT-2,りす,す,すずめ,1809,○,○,すずめ,○,,,,30,3
4,32,GPT-2,すずめ,め,めがね,2391,○,○,めがね,○,,,,30,3
4,33,GPT-2,めがね,ね,ねずみ,2772,○,○,ねずみ,○,,,,30,3
4,34,GPT-1,ねずみ,み,みず,2848,○,○,みず,○,,,,30,3
4,35,GPT-2,みず,ず,ずこう,2026,○,○,ずこう,○,,,,30,3
4,36,GPT-2,ずこう,う,うなぎ,4914,○,○,うなぎ,○,,,,30,3
4,37,GPT-2,うなぎ,ぎ,銀河,4397,○,○,ぎんが,○,,,,30,3
4,38,GPT-1,銀河,が,学校,2542,○,○,がっこう,○,,,,30,3
4,39,GPT-1,学校,う,腕,6053,○,○,うで,○,,,,30,3
4,40,GPT-1,腕,で,電車,3133,○,○,でんしゃ,○,,,,30,3
4,41,GPT-2,電車,や,やさい,4147,○,○,やさい,○,,,,30,3
4,42,GPT-2,やさい,い,いす,2230,○,○,いす,○,,,,30,3
4,43,GPT-2,いす,す,すいか,2310,○,○,すいか,○,,,,30,3
4,44,GPT-1,すいか,か,かき,5268,○,○,かき,○,,,,30,3
4,45,GPT-1,かき,き,きもの,2863,○,○,きもの,○,,,,30,3
4,46,GPT-1,きもの,の,のり,2457,○,○,のり,○,,,,30,3
4,47,GPT-2,のり,り,理科,4471,○,○,りか,○,,,,30,3
4,48,GPT-2,理科,か,かぎ,5144,○,○,かぎ,○,,,,30,3
4,49,GPT-1,かぎ,ぎ,議題,2699,○,○,ぎだい,○,,,,30,3
4,50,GPT-1,議題,い,いぬ,3966,○,○,いぬ,○,,,,30,3
4,51,GPT-1,いぬ,ぬ,ぬの,1691,○,○,ぬの,○,,,,30,3
4,52,GPT-2,ぬの,の,のこぎり,2115,○,○,のこぎり,○,,,,30,3
4,53,GPT-2,のこぎり,り,料理,3934,○,○,りょうり,○,,,,30,3
4,54,GPT-2,料理,り,陸,3458,○,○,りく,○,,,,30,3
4,55,GPT-1,陸,く,くるま,4220,○,○,くるま,○,,,,30,3
4,56,GPT-1,くるま,ま,まつり,3935,○,○,まつり,○,,,,30,3
4,57,GPT-1,まつり,り,理想,3272,○,○,りそう,○,,,,30,3
4,58,GPT-2,理想,う,牛,6438,○,○,うし,○,,,,30,3
4,59,GPT-2,牛,し,しまうま,4217,○,○,しまうま,○,,,,30,3
4,60,GPT-2,しまうま,ま,まる,4743,○,○,まる,○,,,,30,3
4,61,GPT-1,まる,る,るす,3148,○,○,るす,○,,,,30,3
4,62,GPT-1,るす,す,すみれ,2164,○,○,すみれ,○,,,,30,3
4,63,GPT-2,すみれ,れ,れきし,3772,○,○,れきし,○,,,,30,3
4,64,GPT-2,れきし,し,しおり,2500,○,○,しおり,○,,,,30,3
4,65,GPT-2,しおり,り,リュック,4363,○,○,りゅっく,○,,,,30,3
4,66,GPT-1,リュック,く,くじら,2091,○,○,くじら,○,,,,30,3
4,67,GPT-1,くじら,ら,ラジオ,4424,○,○,らじお,○,,,,30,3
4,68,GPT-1,ラジオ,お,おけ,5476,○,○,おけ,○,,,,30,3
4,69,GPT-2,おけ,け,けしごむ,4429,○,×,,×,辞書外,GPT-1,GPT-2,30,3
5,1,GPT-1,しりとり,り,りんご,2454,○,○,りんご,○,,,,30,3
5,2,GPT-1,りんご,ご,ごま,1841,○,○,ごま,○,,,,30,3
5,3,GPT-1,ごま,ま,まくら,1896,○,○,まくら,○,,,,30,3
5,4,GPT-2,まくら,ら,ラッパ,2053,○,○,らっぱ,○,,,,30,3
5,5,GPT-2,ラッパ,ぱ,パンダ,3150,○,○,ぱんだ,○,,,,30,3
5,6,GPT-2,パンダ,だ,団子,7030,○,○,だんご,○,,,,30,3
5,7,GPT-1,団子,ご,ごりら,3044,○,○,ごりら,○,,,,30,3
5,8,GPT-1,ごりら,ら,ラジオ,3979,○,○,らじお,○,,,,30,3
5,9,GPT-1,ラジオ,お,おにぎり,2497,○,○,おにぎり,○,,,,30,3
5,10,GPT-2,おにぎり,り,りす,3520,○,○,りす,○,,,,30,3
5,11,GPT-2,りす,す,すいか,3072,○,○,すいか,○,,,,30,3
5,12,GPT-2,すいか,か,かさ,1994,○,○,かさ,○,,,,30,3
5,13,GPT-1,かさ,さ,さくら,3010,○,○,さくら,○,,,,30,3
5,14,GPT-1,さくら,ら,ラクダ,5275,○,○,らくだ,○,,,,30,3
5,15,GPT-1,ラクダ,だ,だるま,1907,○,○,だるま,○,,,,30,3
5,16,GPT-2,だるま,ま,まぐろ,2324,○,○,まぐろ,○,,,,30,3
5,17,GPT-2,まぐろ,ろ,ろうそく,2549,○,○,ろうそく,○,,,,30,3
5,18,GPT-2,ろうそく,く,くじら,2612,○,○,くじら,○,,,,30,3
5,19,GPT-1,くじら,ら,落語,3728,○,○,らくご,○,,,,30,3
5,20,GPT-1,落語,ご,ゴミ箱,2498,○,○,ごみばこ,○,,,,30,3
5,21,GPT-1,ゴミ箱,こ,こたつ,3822,○,○,こたつ,○,,,,30,3
5,22,GPT-2,こたつ,つ,つみき,2133,○,×,,×,辞書外,GPT-1,GPT-2,30,3
6,1,GPT-1,しりとり,り,リス,2563,○,○,りす,○,,,,30,3
6,2,GPT-1,リス,す,すずめ,4044,○,○,すずめ,○,,,,30,3
6,3,GPT-1,すずめ,め,めだか,1979,○,○,めだか,○,,,,30,3
6,4,GPT-2,めだか,か,かき,3071,○,○,かき,○,,,,30,3
6,5,GPT-2,かき,き,きつね,2498,○,○,きつね,○,,,,30,3
6,6,GPT-2,きつね,ね,ねこ,2032,○,○,ねこ,○,,,,30,3
6,7,GPT-1,ねこ,こ,こおろぎ,7113,○,○,こおろぎ,○,,,,30,3
6,8,GPT-1,こおろぎ,ぎ,ぎんこう,2214,○,○,ぎんこう,○,,,,30,3
6,9,GPT-1,ぎんこう,う,うさぎ,5739,○,○,うさぎ,○,,,,30,3
6,10,GPT-2,うさぎ,ぎ,ぎょうざ,2257,○,○,ぎょーざ,○,,,,30,3
6,11,GPT-2,ぎょうざ,ざ,ざる,2126,○,○,ざる,○,,,,30,3
