ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数,禁止語尾,情報開示強度,得点,累計得点,推測・理由
1,1,GPT-1-3,,a,aeeeee,6264,○,○,aeeeee,○,,,,250,3,d,3,6,6,aで始まり、禁止語尾のdを避けつつ、得点が高くなるようeを多く選択しました。
1,2,GPT-1-3,aeeeee,e,eeeeee,4852,○,○,eeeeee,○,,,,250,3,d,3,6,12,最大得点を狙えるため。既出語ではなく、禁止語尾dでもない。
1,3,GPT-1-3,eeeeee,e,eeeeea,4702,○,○,eeeeea,○,,,,250,3,d,3,6,18,eで始まり、既出語と禁止語尾dを避けられるため。
1,4,GPT-2-1,eeeeea,a,aeeeec,4706,○,○,aeeeec,○,,,,250,3,d,1,5,5,
1,5,GPT-2-1,aeeeec,c,ceeeee,5067,○,○,ceeeee,○,,,,250,3,d,1,6,11,未出で、cから始まり禁止語尾dを避けつつ、eを多く含むため高得点が期待できます。
1,6,GPT-2-1,ceeeee,e,eeeeeb,5501,○,○,eeeeeb,○,,,,250,3,d,1,6,17,未使用で、eから始まり禁止語尾dを避けつつ、文字の合計値が高くなる語を選択しました。
1,7,GPT-1-3,eeeeeb,b,beeeee,3199,○,○,beeeee,○,,,,250,3,d,3,6,24,
1,8,GPT-1-3,beeeee,e,eeeeec,5379,○,○,eeeeec,○,,,,250,3,d,3,6,30,未使用でeから始まり、禁止語尾dを避けつつ高得点を狙えるため。
1,9,GPT-1-3,eeeeec,c,ceeeec,6421,○,○,ceeeec,○,,,,250,3,d,3,6,36,cで始まりd以外で終わる未使用語の中で、得点が高くなる組合せを選択しました。
1,10,GPT-2-1,ceeeec,c,ceeeeb,4992,○,○,ceeeeb,○,,,,250,3,d,1,5,22,未使用で、次に必要なcから始まり、禁止語尾dを避けています。
1,11,GPT-2-1,ceeeeb,b,beeeec,8852,○,○,beeeec,○,,,,250,3,d,1,5,27,bで始まり、既出語ではなく、禁止語尾dでもないため。
1,12,GPT-2-1,beeeec,c,ceeeea,6000,○,○,ceeeea,○,,,,250,3,d,1,5,32,未使用で禁止語尾ではなく、cで始まり、可能な範囲で得点が高い語です。
1,13,GPT-1-3,ceeeea,a,aceeee,11340,○,○,aceeee,○,,,,250,3,d,3,5,41,
1,14,GPT-1-3,aceeee,e,eeeed e,5921,×,×,,×,辞書外,GPT-2-1,GPT-1-3,250,3,d,3,0,41,未使用で禁止語尾dを避け、eから始まり高得点になる語を選択しました。
2,1,GPT-1-3,,a,eeeeee,6299,×,○,eeeeee,×,語頭不一致,GPT-2-1,GPT-1-3,250,3,d,3,0,0,利用可能な中で最も高得点になる文字を選択しました。
3,1,GPT-1-3,,a,aeeeee,9167,○,○,aeeeee,○,,,,250,3,d,3,6,6,aで始まりd以外で終わる未使用語として選択しました。
3,2,GPT-1-3,aeeeee,e,eeeeee,4717,○,○,eeeeee,○,,,,250,3,d,3,6,12,最大得点を狙い、使用可能な文字の中で最も価値が高いeを6文字使用した。
3,3,GPT-1-3,eeeeee,e,eeeeec,4299,○,○,eeeeec,○,,,,250,3,d,3,6,18,eで始まり、既出語を避けつつ高得点になる語を選択しました。
3,4,GPT-2-1,eeeeec,c,ceeeee,6583,○,○,ceeeee,○,,,,250,3,d,1,6,6,cで始まり、未出で禁止語尾dを避けつつ、eを多く含むため高得点が見込めます。
3,5,GPT-2-1,ceeeee,e,eeeeea,3367,○,○,eeeeea,○,,,,250,3,d,1,6,12,eeeeeeは既出で、語尾dは禁止されているため、未出かつ得点の高いeeeeeaを選択しました。
3,6,GPT-2-1,eeeeea,a,aeeeec,5542,○,○,aeeeec,○,,,,250,3,d,1,5,17,未使用で、aから始まり禁止語尾dを避けつつ、可能な範囲で高得点になる語を選択しました。
3,7,GPT-1-3,aeeeec,c,ceeeec,6052,○,○,ceeeec,○,,,,250,3,d,3,6,24,
3,8,GPT-1-3,ceeeec,c,cdeeee,5740,○,○,cdeeee,○,,,,250,3,d,3,6,30,未出でcから始まり、禁止語尾dを避けつつ、合計27で得点は6点です。
3,9,GPT-1-3,cdeeee,e,eeeece,5579,○,○,eeeece,○,,,,250,3,d,3,6,36,eで始まり、既出語と禁止語尾dを避けつつ、高得点になる語を選択しました。
3,10,GPT-2-1,eeeece,e,eeeeeb,2880,○,○,eeeeeb,○,,,,250,3,d,1,6,23,
3,11,GPT-2-1,eeeeeb,b,beeeee,6139,○,○,beeeee,○,,,,250,3,d,1,6,29,未使用で禁止語尾dを避けつつ、得点が最大になる語を選択しました。
3,12,GPT-2-1,beeeee,e,eeeeec,6634,○,○,eeeeec,×,既出単語,GPT-1-3,GPT-2-1,250,3,d,1,0,29,未使用で、eから始まり禁止語尾dを避けられるため。
4,1,GPT-1-3,,a,aeeeee,5295,○,○,aeeeee,○,,,,250,3,d,3,6,6,高得点を狙い、使用可能な文字で末尾禁止語尾を避けた。
4,2,GPT-1-3,aeeeee,e,eeeeee,3188,○,○,eeeeee,○,,,,250,3,d,3,6,12,未使用で、禁止語尾のdを避けつつ、eを6文字使うことで得点を最大化できます。
4,3,GPT-1-3,eeeeee,e,eeeeec,4420,○,○,eeeeec,○,,,,250,3,d,3,6,18,未使用で禁止語尾を避けつつ、合計値が最大になる語を選択しました。
4,4,GPT-2-1,eeeeec,c,ceeeee,2995,○,○,ceeeee,○,,,,250,3,d,1,6,6,高得点を狙い、使用可能な文字の中でeを最大限用いた。
4,5,GPT-2-1,ceeeee,e,eeeeea,4042,○,○,eeeeea,○,,,,250,3,d,1,6,12,未使用で禁止語尾ではなく、eから始まるため。
4,6,GPT-2-1,eeeeea,a,aeeeec,7272,○,○,aeeeec,○,,,,250,3,d,1,5,17,未使用で、aから始まり、禁止語尾dを避けつつ高得点になるため。
4,7,GPT-1-3,aeeeec,c,ceeeea,6285,○,○,ceeeea,○,,,,250,3,d,3,5,23,未出で、cから始まり、禁止語尾dを避けているため。
4,8,GPT-1-3,ceeeea,a,aeeeea,6844,○,○,aeeeea,○,,,,250,3,d,3,5,28,
4,9,GPT-1-3,aeeeea,a,aeeeeb,6066,○,○,aeeeeb,○,,,,250,3,d,3,5,33,
4,10,GPT-2-1,aeeeeb,b,beeeee,2212,○,○,beeeee,○,,,,250,3,d,1,6,23,
4,11,GPT-2-1,beeeee,e,eeeeeb,5934,○,○,eeeeeb,○,,,,250,3,d,1,6,29,未出で禁止語尾dを避けつつ、eを多く含むため高得点が期待できます。
4,12,GPT-2-1,eeeeeb,b,beeeec,6589,○,○,beeeec,○,,,,250,3,d,1,5,34,
4,13,GPT-1-3,beeeec,c,ceeeec,3545,○,○,ceeeec,○,,,,250,3,d,3,6,39,
4,14,GPT-1-3,ceeeec,c,ceeeeb,6143,○,○,ceeeeb,○,,,,250,3,d,3,5,44,
4,15,GPT-1-3,ceeeeb,b,beeede,6438,○,○,beeede,○,,,,250,3,d,3,6,50,高得点を狙い、未使用で禁止語尾でない語を選択しました。
4,16,GPT-2-1,beeede,e,eeeeea,4891,○,○,eeeeea,×,既出単語,GPT-1-3,GPT-2-1,250,3,d,1,0,34,未使用で、禁止語尾のdを避けつつ、eを最大限含むため高得点が見込めます。
5,1,GPT-1-3,,a,aeeeee,2639,○,○,aeeeee,○,,,,250,3,d,3,6,6,
5,2,GPT-1-3,aeeeee,e,eeeeee,4056,○,○,eeeeee,○,,,,250,3,d,3,6,12,最高得点を狙い、全てeを選択しました。
5,3,GPT-1-3,eeeeee,e,eeeeec,4463,○,○,eeeeec,○,,,,250,3,d,3,6,18,既出語と禁止語尾を避け、eから始まり、次回の文字がcになる語を選択しました。
5,4,GPT-2-1,eeeeec,c,ceeeee,2677,○,○,ceeeee,○,,,,250,3,d,1,6,6,eを多く含むため高得点が期待でき、既出語ではなく禁止語尾dでもないため。
5,5,GPT-2-1,ceeeee,e,eeeeeb,4126,○,○,eeeeeb,○,,,,250,3,d,1,6,12,未使用で、指定文字eから始まり、禁止語尾dを避けつつ文字の合計を最大化できるため。
5,6,GPT-2-1,eeeeeb,b,beeeee,2474,○,○,beeeee,○,,,,250,3,d,1,6,18,
5,7,GPT-1-3,beeeee,e,eeeeea,3447,○,○,eeeeea,○,,,,250,3,d,3,6,24,
5,8,GPT-1-3,eeeeea,a,aeeeec,4579,○,○,aeeeec,○,,,,250,3,d,3,5,29,
5,9,GPT-1-3,aeeeec,c,ceeeea,3646,○,○,ceeeea,○,,,,250,3,d,3,5,34,cで始まり、既出語を避けつつ高得点になる語を選択しました。
5,10,GPT-2-1,ceeeea,a,aeeede,6497,○,○,aeeede,○,,,,250,3,d,1,5,23,未使用で、aから始まり禁止語尾dを避けつつ、得点が高くなるようeとdを多く選択しました。
5,11,GPT-2-1,aeeede,e,eeeece,5220,○,○,eeeece,○,,,,250,3,d,1,6,29,未出で禁止語尾dではなく、eを多く含むため高得点が期待できます。
5,12,GPT-1-3,eeeece,e,eeecee,9258,○,○,eeecee,○,,,,250,3,d,3,6,40,
5,13,GPT-1-3,eeecee,e,eeeeaa,6229,○,○,eeeeaa,○,,,,250,3,d,3,5,45,
5,14,GPT-2-1,eeeeaa,a,aeeeeb,6230,○,○,aeeeeb,○,,,,250,3,d,1,5,34,未使用で、禁止語尾dを避けつつ、aで始まる候補の中で高得点になるため。
5,15,GPT-2-1,aeeeeb,b,beeeec,5190,○,○,beeeec,○,,,,250,3,d,1,5,39,未出で禁止語尾でもなく、bから始まり高得点が見込めるため。
5,16,GPT-2-1,beeeec,c,ceeeec,8031,○,○,ceeeec,○,,,,250,3,d,1,6,45,未使用でcから始まり、禁止語尾dを避けつつ、eを多く含むため高得点が見込めます。
5,17,GPT-1-3,ceeeec,c,cdeeee,4681,○,○,cdeeee,○,,,,250,3,d,3,6,51,
5,18,GPT-1-3,cdeeee,e,eeceee,5674,○,○,eeceee,○,,,,250,3,d,3,6,57,
5,19,GPT-1-3,eeceee,e,eeecee,5101,○,○,eeecee,×,既出単語,GPT-2-1,GPT-1-3,250,3,d,3,0,57,未使用で禁止語尾dを避けつつ、eを多く含むため高得点が見込めます。
