ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,りんご,4434,○,○,りんご,○,,,,30,1
1,2,GPT-2,りんご,ご,ごま,2062,○,○,ごま,○,,,,30,1
1,3,GPT-1,ごま,ま,まくら,3124,○,○,まくら,○,,,,30,1
1,4,GPT-2,まくら,ら,ラジオ,1814,○,○,らじお,○,,,,30,1
1,5,GPT-1,ラジオ,お,おしべ,6270,○,○,おしべ,○,,,,30,1
1,6,GPT-2,おしべ,べ,ベッド,1942,○,○,べっど,○,,,,30,1
1,7,GPT-1,ベッド,ど,ドア,1579,○,○,どあ,○,,,,30,1
1,8,GPT-2,ドア,あ,あさ,3566,○,○,あさ,○,,,,30,1
1,9,GPT-1,あさ,さ,さくら,1994,○,○,さくら,○,,,,30,1
1,10,GPT-2,さくら,ら,らっぱ,1590,○,○,らっぱ,○,,,,30,1
1,11,GPT-1,らっぱ,ぱ,パンダ,2782,○,○,ぱんだ,○,,,,30,1
1,12,GPT-2,パンダ,だ,だるま,1550,○,○,だるま,○,,,,30,1
1,13,GPT-1,だるま,ま,まつり,2247,○,○,まつり,○,,,,30,1
1,14,GPT-2,まつり,り,りす,2163,○,○,りす,○,,,,30,1
1,15,GPT-1,りす,す,すいか,3075,○,○,すいか,○,,,,30,1
1,16,GPT-2,すいか,か,かき,1832,○,○,かき,○,,,,30,1
1,17,GPT-1,かき,き,きつね,2100,○,○,きつね,○,,,,30,1
1,18,GPT-2,きつね,ね,ねこ,2312,○,○,ねこ,○,,,,30,1
1,19,GPT-1,ねこ,こ,こあら,2007,○,×,,×,辞書外,GPT-2,GPT-1,30,1
2,1,GPT-1,しりとり,り,りんご,1836,○,○,りんご,○,,,,30,1
2,2,GPT-2,りんご,ご,ごま,1800,○,○,ごま,○,,,,30,1
2,3,GPT-1,ごま,ま,マグロ,1999,○,○,まぐろ,○,,,,30,1
2,4,GPT-2,マグロ,ろ,ロケット,1879,○,○,ろけっと,○,,,,30,1
2,5,GPT-1,ロケット,と,時計,3707,○,○,とけい,○,,,,30,1
2,6,GPT-2,時計,い,犬,1819,○,○,いぬ,○,,,,30,1
2,7,GPT-1,犬,ぬ,ぬいぐるみ,1695,○,○,ぬいぐるみ,○,,,,30,1
2,8,GPT-2,ぬいぐるみ,み,水,1659,○,○,みず,○,,,,30,1
2,9,GPT-1,水,ず,頭蓋,4000,○,○,ずがい,○,,,,30,1
2,10,GPT-2,頭蓋,い,石,1757,○,○,いし,○,,,,30,1
2,11,GPT-1,石,し,鹿,2076,○,○,しか,○,,,,30,1
2,12,GPT-2,鹿,か,傘,2240,○,○,かさ,○,,,,30,1
2,13,GPT-1,傘,さ,砂糖,3406,○,○,さとう,○,,,,30,1
2,14,GPT-2,砂糖,う,兎,3334,○,○,う,○,,,,30,1
2,15,GPT-1,兎,う,海,2773,○,○,うみ,○,,,,30,1
2,16,GPT-2,海,み,耳,3063,○,○,みみ,○,,,,30,1
2,17,GPT-1,耳,み,未来,2046,○,○,みらい,○,,,,30,1
2,18,GPT-2,未来,い,椅子,2038,○,○,いす,○,,,,30,1
2,19,GPT-1,椅子,す,スイカ,1564,○,○,すいか,○,,,,30,1
2,20,GPT-2,スイカ,か,カメラ,2219,○,○,かめら,○,,,,30,1
2,21,GPT-1,カメラ,ら,ラッパ,4265,○,○,らっぱ,○,,,,30,1
2,22,GPT-2,ラッパ,ぱ,パンダ,1301,○,○,ぱんだ,○,,,,30,1
2,23,GPT-1,パンダ,だ,大学,1921,○,○,だいがく,○,,,,30,1
2,24,GPT-2,大学,く,車,1948,○,○,くるま,○,,,,30,1
2,25,GPT-1,車,ま,まくら,1694,○,○,まくら,○,,,,30,1
2,26,GPT-2,まくら,ら,ラジオ,1235,○,○,らじお,○,,,,30,1
