ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,りんご,3253,○,○,りんご,○,,,,11,3
1,2,GPT-1,りんご,ご,ごま,1520,○,○,ごま,○,,,,11,3
1,3,GPT-1,ごま,ま,まくら,1708,○,○,まくら,○,,,,11,3
1,4,GPT-2,まくら,ら,ラッパ,1425,○,○,らっぱ,○,,,,11,3
1,5,GPT-2,ラッパ,ぱ,パセリ,1670,○,○,ぱせり,○,,,,11,3
1,6,GPT-2,パセリ,り,りす,1431,○,○,りす,○,,,,11,3
1,7,GPT-1,りす,す,すいか,1611,○,○,すいか,○,,,,11,3
1,8,GPT-1,すいか,か,かさ,1614,○,○,かさ,○,,,,11,3
1,9,GPT-1,かさ,さ,さくら,1771,○,○,さくら,○,,,,11,3
1,10,GPT-2,さくら,ら,らくだ,1483,○,○,らくだ,○,,,,11,3
1,11,GPT-2,らくだ,だ,大学,2501,○,○,だいがく,○,,,,11,3
1,12,GPT-2,大学,く,くじら,2349,○,○,くじら,○,,,,11,3
1,13,GPT-1,くじら,ら,ラジオ,1617,○,○,らじお,○,,,,11,3
1,14,GPT-1,ラジオ,お,おにぎり,2099,○,○,おにぎり,○,,,,11,3
1,15,GPT-1,おにぎり,り,理科,1887,○,○,りか,○,,,,11,3
1,16,GPT-2,理科,か,カメラ,2180,○,○,かめら,○,,,,11,3
1,17,GPT-2,カメラ,ら,ランプ,3684,○,○,らんぷ,○,,,,11,3
1,18,GPT-2,ランプ,ぷ,プール,1377,○,○,ぷーる,○,,,,11,3
1,19,GPT-1,プール,る,留守,1635,○,○,るす,○,,,,11,3
1,20,GPT-1,留守,す,すずめ,2411,○,○,すずめ,○,,,,11,3
1,21,GPT-1,すずめ,め,めだか,1700,○,○,めだか,○,,,,11,3
1,22,GPT-2,めだか,か,かき,2194,○,○,かき,○,,,,11,3
1,23,GPT-2,かき,き,きのこ,3327,○,○,きのこ,○,,,,11,3
1,24,GPT-2,きのこ,こ,昆布,1629,○,○,こんぶ,○,,,,11,3
1,25,GPT-1,昆布,ぶ,ぶどう,1336,○,○,ぶどう,○,,,,11,3
1,26,GPT-1,ぶどう,う,うさぎ,1923,○,○,うさぎ,○,,,,11,3
1,27,GPT-1,うさぎ,ぎ,銀河,1608,○,○,ぎんが,○,,,,11,3
1,28,GPT-2,銀河,が,ガス,1487,○,○,がす,○,,,,11,3
1,29,GPT-2,ガス,す,すし,1884,○,○,すし,○,,,,11,3
1,30,GPT-2,すし,し,しか,1667,○,○,しか,○,,,,11,3
1,31,GPT-1,しか,か,かえる,2393,○,○,かえる,○,,,,11,3
1,32,GPT-1,かえる,る,ルビー,2084,○,○,るびー,○,,,,11,3
1,33,GPT-1,ルビー,い,いす,1635,○,○,いす,○,,,,11,3
1,34,GPT-2,いす,す,すみれ,1595,○,○,すみれ,○,,,,11,3
1,35,GPT-2,すみれ,れ,冷蔵庫,1638,×,×,,×,辞書外,GPT-1,GPT-2,11,3
2,1,GPT-1,しりとり,り,りんご,1421,○,○,りんご,○,,,,11,3
2,2,GPT-1,りんご,ご,ゴリラ,1768,○,○,ごりら,○,,,,11,3
2,3,GPT-1,ゴリラ,ら,ラジオ,1239,○,○,らじお,○,,,,11,3
2,4,GPT-2,ラジオ,お,おにぎり,1494,○,○,おにぎり,○,,,,11,3
2,5,GPT-2,おにぎり,り,リス,1480,○,○,りす,○,,,,11,3
2,6,GPT-2,リス,す,すいか,8498,○,○,すいか,○,,,,11,3
2,7,GPT-1,すいか,か,かさ,1213,○,○,かさ,○,,,,11,3
2,8,GPT-1,かさ,さ,さくら,1500,○,○,さくら,○,,,,11,3
2,9,GPT-1,さくら,ら,らっぱ,1920,○,○,らっぱ,○,,,,11,3
2,10,GPT-2,らっぱ,ぱ,パンダ,1399,○,○,ぱんだ,○,,,,11,3
2,11,GPT-2,パンダ,だ,だるま,1330,○,○,だるま,○,,,,11,3
2,12,GPT-2,だるま,ま,まくら,1011,○,○,まくら,○,,,,11,3
2,13,GPT-1,まくら,ら,らくだ,1724,○,○,らくだ,○,,,,11,3
2,14,GPT-1,らくだ,だ,大福,2031,○,○,だいふく,○,,,,11,3
2,15,GPT-1,大福,く,くるま,1537,○,○,くるま,○,,,,11,3
2,16,GPT-2,くるま,ま,まつり,2196,○,○,まつり,○,,,,11,3
2,17,GPT-2,まつり,り,料理,2631,○,○,りょうり,○,,,,11,3
2,18,GPT-2,料理,り,理科,2445,○,○,りか,○,,,,11,3
2,19,GPT-1,理科,か,かめ,1362,○,○,かめ,○,,,,11,3
2,20,GPT-1,かめ,め,めがね,2133,○,○,めがね,○,,,,11,3
2,21,GPT-1,めがね,ね,ねこ,1592,○,○,ねこ,○,,,,11,3
2,22,GPT-2,ねこ,こ,こたつ,1807,○,○,こたつ,○,,,,11,3
2,23,GPT-2,こたつ,つ,つくえ,1455,○,○,つくえ,○,,,,11,3
2,24,GPT-2,つくえ,え,えんぴつ,1672,○,○,えんぴつ,○,,,,11,3
2,25,GPT-1,えんぴつ,つ,つみき,2129,○,×,,×,辞書外,GPT-2,GPT-1,11,3
3,1,GPT-1,しりとり,り,りんご,1575,○,○,りんご,○,,,,11,3
3,2,GPT-1,りんご,ご,ゴリラ,1390,○,○,ごりら,○,,,,11,3
3,3,GPT-1,ゴリラ,ら,ラジオ,1102,○,○,らじお,○,,,,11,3
3,4,GPT-2,ラジオ,お,おにぎり,1536,○,○,おにぎり,○,,,,11,3
3,5,GPT-2,おにぎり,り,リス,1479,○,○,りす,○,,,,11,3
3,6,GPT-2,リス,す,スイカ,1600,○,○,すいか,○,,,,11,3
3,7,GPT-1,スイカ,か,カメラ,881,○,○,かめら,○,,,,11,3
3,8,GPT-1,カメラ,ら,ラッパ,1793,○,○,らっぱ,○,,,,11,3
3,9,GPT-1,ラッパ,ぱ,パンダ,1370,○,○,ぱんだ,○,,,,11,3
3,10,GPT-2,パンダ,だ,大学,1623,○,○,だいがく,○,,,,11,3
3,11,GPT-2,大学,く,クジラ,2004,○,○,くじら,○,,,,11,3
3,12,GPT-2,クジラ,ら,ラッコ,1825,○,○,らっこ,○,,,,11,3
3,13,GPT-1,ラッコ,こ,こたつ,1740,○,○,こたつ,○,,,,11,3
3,14,GPT-1,こたつ,つ,つくえ,1975,○,○,つくえ,○,,,,11,3
3,15,GPT-1,つくえ,え,鉛筆,1869,○,○,えんぴつ,○,,,,11,3
3,16,GPT-2,鉛筆,つ,つみき,1660,○,×,,×,辞書外,GPT-1,GPT-2,11,3
4,1,GPT-1,しりとり,り,りんご,2107,○,○,りんご,○,,,,11,3
4,2,GPT-1,りんご,ご,ごま,2333,○,○,ごま,○,,,,11,3
4,3,GPT-1,ごま,ま,まくら,1447,○,○,まくら,○,,,,11,3
4,4,GPT-2,まくら,ら,ラッパ,1140,○,○,らっぱ,○,,,,11,3
4,5,GPT-2,ラッパ,ぱ,パンダ,2003,○,○,ぱんだ,○,,,,11,3
4,6,GPT-2,パンダ,だ,台所,1941,○,○,だいどころ,○,,,,11,3
4,7,GPT-1,台所,ろ,ろうそく,1475,○,○,ろうそく,○,,,,11,3
